,Return,Vol,Sharpe,Sortino,Max_DD,Ret_To_MaxDD,WARP_25%_asset
qqq,0.09781885095415466,0.09293235043916832,0.7858536406590607,1.1417697121531116,0.34433446497427533,0.28408091813133646,3.480136537467038
lqd,0.07883544843579937,0.06837240051524972,0.8398523401978399,1.2262766295199399,0.2669111705613207,0.29536211717930916,9.349883446101082
hyg,0.07734665796200524,0.07680804333736573,0.7518569419132668,1.0885136925680805,0.30839987285337833,0.2507999022385393,-5.06478633607853
tlt,0.08329998471068012,0.060806487531159976,0.9686360804826796,1.4341250341486123,0.2243698858256199,0.37126187591600773,32.58072462503077
ief,0.07683044789624138,0.061681614277937925,0.8912893967123934,1.3141845765419526,0.2354783981376507,0.3262738684477102,18.977826672964948
shy,0.06967270335573095,0.06340924857416814,0.8021513046925769,1.1714668724681032,0.24550207839413285,0.28379679639158617,4.764815560792579
gld,0.08060804392829679,0.06982128374519851,0.8391217933232044,1.2287592407013137,0.25353383373391386,0.3179380153770549,13.56678475470523
slv,0.08122771519201777,0.08765392708349663,0.7114280543344171,1.0153844001677437,0.3154161319469614,0.25752555739817573,-7.0879347151046606
efa,0.07210621493752845,0.09517346005579305,0.5961404098040207,0.8590899913853518,0.3704832357405402,0.1946274702373482,-25.703543483999912
eem,0.07407989375267499,0.10163784557509195,0.5747174712630148,0.8388257556392413,0.3639995036356078,0.20351646915110852,-24.927243828609726
iyr,0.08258645420328836,0.10299402151568565,0.6280791921400358,0.9085829948086226,0.38607362839047926,0.21391374113685765,-19.89708028792643
xle,0.06430124607772258,0.1040571474962304,0.5095961060814893,0.728982823169437,0.3585853539521615,0.1793192202889049,-34.307049038374835
xlk,0.0956844762576543,0.09362392612680719,0.764950665318164,1.1135332647566625,0.34290151607081637,0.27904360807169326,1.2824829424844308
xlf,0.0784322721040891,0.1066346718043718,0.5846950596627967,0.8481182066892015,0.42381534233500845,0.185062370965541,-28.016334675456413
GC=F,0.08190710973487292,0.06952912061423298,0.8611075962253948,1.2611595993155797,0.2534462225239852,0.32317352738260496,15.997763718863855
RPAR,0.012885415720571114,0.03515054648898187,1.0292704860975903,4.939917868840932,0.18001029864520274,0.07158154737562017,8.045605540750556
